[14:47:13.110] ESP-ROM:esp32s3-20210327
[14:47:13.117] Build:Mar 27 2021
[14:47:13.124] rst:0x1 (POWERON),boot:0x8 (SPI_FAST_FLASH_BOOT)
[14:47:13.124] SPIWP:0xee
[14:47:13.124] mode:DIO, clock div:1
[14:47:13.130] load:0x3fce2820,len:0x10cc
[14:47:13.130] load:0x403c8700,len:0xc2c
[14:47:13.132] load:0x403cb700,len:0x30c0
[14:47:13.132] entry 0x403c88b8
[14:47:13.220] --- Sony UniLink SPY (PASSIVE SNIFFER ESP32) ---
[14:47:13.225] Podlacz ESP rownolegle do dzialajacej zmieniarki.
[14:47:13.231] Standard wyjscia dopasowany do logow UNO. Nie zapomnij o konwerterach napiecia!
[14:47:19.906] --- NOWA SEKWENCJA ---
[14:47:23.097] [GAP: 1007 us] -> 02
[14:47:23.097] [GAP: 1007 us] -> C4
[14:47:23.100] [GAP: 1006 us] -> 00
[14:47:23.100] [GAP: 5973 us] -> 00
[14:47:23.104] [GAP: 6007 us] -> 18
[14:47:23.107] [GAP: 1007 us] -> 51
[14:47:23.107] [GAP: 972 us] -> 8D
[14:47:23.112] [GAP: 1007 us] -> 10
[14:47:23.112] [GAP: 1007 us] -> 06
[14:47:23.115] [GAP: 972 us] -> 00
[14:47:23.119] [GAP: 1008 us] -> 00
[14:47:23.120] [GAP: 1006 us] -> 00
[14:47:23.124] [GAP: 1007 us] -> 00
[14:47:23.126] [GAP: 972 us] -> 06
[14:47:23.126] [GAP: 1007 us] -> 00
[14:47:23.130] [GAP: 6007 us] -> 00
[14:47:23.132] [GAP: 5973 us] -> 18
[14:47:23.133] [GAP: 1006 us] -> 10
[14:47:23.133] [GAP: 1007 us] -> 8C
[14:47:23.133] [GAP: 1007 us] -> 00
[14:47:23.142] [GAP: 973 us] -> B4
[14:47:23.142] [GAP: 1007 us] -> 01
[14:47:23.147] [GAP: 1006 us] -> 00
[14:47:23.147] [GAP: 972 us] -> 00
[14:47:23.148] [GAP: 1008 us] -> 01
[14:47:23.153] [GAP: 1006 us] -> B6
[14:47:23.153] [GAP: 1007 us] -> 00
[14:47:23.154] [GAP: 5973 us] -> 00
[14:47:23.154] [GAP: 6007 us] -> 20
[14:47:23.160] [GAP: 972 us] -> 10
[14:47:23.161] [GAP: 1007 us] -> 88
[14:47:23.165] [GAP: 1007 us] -> C0
[14:47:23.168] [GAP: 1007 us] -> 78
[14:47:23.170] [GAP: 972 us] -> 00
[14:47:23.170] [GAP: 1007 us] -> 80
[14:47:23.174] [GAP: 1007 us] -> 00
[14:47:23.176] [GAP: 1007 us] -> 00
[14:47:23.180] [GAP: 972 us] -> F8
[14:47:23.180] [GAP: 1007 us] -> 00
[14:47:23.183] [GAP: 6007 us] -> 00
[14:47:23.183] [GAP: 5972 us] -> 30
[14:47:23.183] [GAP: 1007 us] -> 10
[14:47:23.190] [GAP: 1007 us] -> 88
[14:47:23.190] [GAP: 973 us] -> 11
[14:47:23.190] [GAP: 1007 us] -> D9
[14:47:23.197] [GAP: 1006 us] -> F0
[14:47:23.198] [GAP: 1007 us] -> 11
[14:47:23.200] [GAP: 972 us] -> 00
[14:47:23.203] [GAP: 1008 us] -> 00
[14:47:23.204] [GAP: 1007 us] -> DA
[14:47:23.208] [GAP: 1007 us] -> 00
[14:47:23.210] [GAP: 5971 us] -> 00
[14:47:23.212] [GAP: 6008 us] -> 50
[14:47:23.214] [GAP: 972 us] -> 10
[14:47:23.214] [GAP: 1007 us] -> 88
[14:47:23.220] [GAP: 1007 us] -> FF
[14:47:23.220] [GAP: 1007 us] -> E7
[14:47:23.224] [GAP: 972 us] -> FF
[14:47:23.226] [GAP: 1007 us] -> 26
[14:47:23.230] [GAP: 1006 us] -> 00
[14:47:23.231] [GAP: 1007 us] -> 00
[14:47:23.231] [GAP: 973 us] -> 0C
[14:47:23.236] [GAP: 1007 us] -> 00
[14:47:23.236] [GAP: 6007 us] -> 00
[14:47:23.240] [GAP: 5972 us] -> 60
[14:47:23.240] [GAP: 1007 us] -> 10
[14:47:23.240] [GAP: 1007 us] -> 88
[14:47:23.247] [GAP: 972 us] -> 00
[14:47:23.247] [GAP: 1007 us] -> F8
[14:47:23.250] [GAP: 1007 us] -> 00
[14:47:23.253] [GAP: 1007 us] -> 00
[14:47:23.253] [GAP: 973 us] -> 00
[14:47:23.258] [GAP: 1007 us] -> 00
[14:47:23.258] [GAP: 1006 us] -> F8
[14:47:23.264] [GAP: 1007 us] -> 00
[14:47:23.264] [GAP: 5973 us] -> 00
[14:47:23.264] [GAP: 6007 us] -> 70
[14:47:23.268] [GAP: 971 us] -> 10
[14:47:23.271] [GAP: 1008 us] -> 88
[14:47:23.271] [GAP: 1007 us] -> 11
[14:47:23.276] [GAP: 1006 us] -> 19
[14:47:23.277] [GAP: 972 us] -> 04
[14:47:23.280] [GAP: 1008 us] -> F0
[14:47:23.280] [GAP: 1007 us] -> 00
[14:47:23.285] [GAP: 1006 us] -> 10
[14:47:23.285] [GAP: 973 us] -> 1D
[14:47:23.285] [GAP: 1007 us] -> 00
[14:47:23.292] [GAP: 6007 us] -> 00
[14:47:23.292] [GAP: 5972 us] -> 70
[14:47:23.297] [GAP: 1007 us] -> 10
[14:47:23.297] [GAP: 1007 us] -> 89
[14:47:23.299] [GAP: 972 us] -> 01
[14:47:23.300] [GAP: 1008 us] -> 0A
[14:47:23.300] [GAP: 1006 us] -> 10
[14:47:23.308] [GAP: 1007 us] -> 00
[14:47:23.308] [GAP: 972 us] -> 00
[14:47:23.310] [GAP: 1008 us] -> 00
[14:47:23.314] [GAP: 1007 us] -> 1A
[14:47:23.314] [GAP: 1006 us] -> 00
[14:47:23.319] [GAP: 5972 us] -> 00
[14:47:23.320] [GAP: 6007 us] -> 91
[14:47:23.320] [GAP: 972 us] -> 10
[14:47:23.322] [GAP: 1007 us] -> 88
[14:47:23.322] [GAP: 1008 us] -> 00
[14:47:23.330] [GAP: 1007 us] -> 29
[14:47:23.330] [GAP: 972 us] -> 2A
[14:47:23.332] [GAP: 1006 us] -> 8D
[14:47:23.335] [GAP: 1007 us] -> E8
[14:47:23.335] [GAP: 1007 us] -> 01
[14:47:23.340] [GAP: 972 us] -> C9
[14:47:23.342] [GAP: 1008 us] -> 00
[14:47:23.342] [GAP: 6006 us] -> 00
[14:47:23.347] [GAP: 5973 us] -> 92
[14:47:23.347] [GAP: 1007 us] -> 10
[14:47:23.350] [GAP: 1007 us] -> 88
[14:47:23.350] [GAP: 1007 us] -> 00
[14:47:23.350] [GAP: 972 us] -> 2A
[14:47:23.358] [GAP: 1007 us] -> 2A
[14:47:23.360] [GAP: 1007 us] -> 80
[14:47:23.364] [GAP: 972 us] -> 00
[14:47:23.364] [GAP: 1007 us] -> 01
[14:47:23.364] [GAP: 1007 us] -> D5
[14:47:23.370] [GAP: 1007 us] -> 00
[14:47:23.371] [GAP: 5972 us] -> 00
[14:47:23.371] [GAP: 6007 us] -> 93
[14:47:23.375] [GAP: 973 us] -> 10
[14:47:23.380] [GAP: 1006 us] -> 88
[14:47:23.380] [GAP: 1007 us] -> 00
[14:47:23.380] [GAP: 1007 us] -> 2B
[14:47:23.385] [GAP: 972 us] -> 2A
[14:47:23.385] [GAP: 1007 us] -> 80
[14:47:23.390] [GAP: 1008 us] -> 00
[14:47:23.392] [GAP: 1006 us] -> 01
[14:47:23.392] [GAP: 972 us] -> D6
[14:47:23.396] [GAP: 1007 us] -> 00
[14:47:23.398] [GAP: 6007 us] -> 00
[14:47:23.402] [GAP: 5972 us] -> 94
[14:47:23.402] [GAP: 1007 us] -> 10
[14:47:23.404] [GAP: 1008 us] -> 88
[14:47:23.408] [GAP: 972 us] -> 00
[14:47:23.408] [GAP: 1007 us] -> 2C
[14:47:23.414] [GAP: 1007 us] -> 2A
[14:47:23.414] [GAP: 1007 us] -> 80
[14:47:23.414] [GAP: 972 us] -> 00
[14:47:23.416] [GAP: 1007 us] -> 01
[14:47:23.420] [GAP: 1007 us] -> D7
[14:47:23.425] [GAP: 1007 us] -> 00
[14:47:23.425] [GAP: 5972 us] -> 00
[14:47:23.425] [GAP: 6007 us] -> 95
[14:47:23.430] [GAP: 972 us] -> 10
[14:47:23.430] [GAP: 1008 us] -> 88
[14:47:23.435] [GAP: 1006 us] -> 00
[14:47:23.435] [GAP: 1007 us] -> 2D
[14:47:23.435] [GAP: 972 us] -> 2A
[14:47:23.440] [GAP: 1008 us] -> 80
[14:47:23.443] [GAP: 1006 us] -> 00
[14:47:23.443] [GAP: 1007 us] -> 01
[14:47:23.443] [GAP: 973 us] -> D8
[14:47:23.443] [GAP: 1006 us] -> 00
[14:47:23.451] [GAP: 6007 us] -> 00
[14:47:23.454] [GAP: 5973 us] -> 91
[14:47:23.457] [GAP: 1007 us] -> 10
[14:47:23.457] [GAP: 1006 us] -> 89
[14:47:23.460] [GAP: 973 us] -> 40
[14:47:23.461] [GAP: 1007 us] -> 6A
[14:47:23.461] [GAP: 1006 us] -> 00
[14:47:23.466] [GAP: 1008 us] -> 00
